32.478503 1.500000 1.050000	J0006+1834
70.469412 1.750000 7.000000	J0007+7303
42.013476 1.000000 4.066667	J0014+4746
34.266310 0.750000 0.033333	J0023+0923
102.054011 1.500000 6.033333	J0026+6320
32.925455 0.000000 0.083333	J0030+0451
74.342995 0.750000 5.000000	J0033+57
81.792193 0.750000 6.000000	J0033+61
71.512300 1.000000 6.000000	J0034+69
27.860000 1.000000 -0.050000	J0034-0534
31.733583 1.000000 -0.033333	J0034-0721
70.767380 0.000000 5.016667	J0040+5716
36.352086 2.000000 3.016667	J0048+3412
30.392727 0.250000 0.033333	J0051+0423
71.512300 0.750000 6.000000	J0053+69
86.857648 1.000000 6.000000	J0054+66
47.823851 1.250000 5.016667	J0055+5117
44.844171 1.500000 4.083333	J0056+4756
85.218824 2.000000 6.033333	J0058+6125
45.738075 2.250000 5.000000	J0059+50
47.823851 15.500000 4.050000	J0102+4839
86.857648 15.500000 6.050000	J0102+6537
55.720000 15.750000 5.000000	J0103+54
49.313690 16.500000 4.083333	J0106+4855
87.006632 17.000000 6.000000	J0108+6608
78.961498 17.000000 6.000000	J0108+6905
37.841925 17.000000 -1.050000	J0108-1431
83.877969 15.500000 6.000000	J0112+66
79.259466 16.750000 5.016667	J0117+5914
94.157862 16.250000 6.000000	J0125+62
29.647808 16.000000 -2.050000	J0134-2937
95.051765 16.500000 6.000000	J0136+63
35.905134 16.750000 1.083333	J0137+1654
60.487487 17.250000 5.033333	J0139+5621
74.045027 17.250000 5.016667	J0139+5814
84.622888 15.250000 6.000000	J0141+6009
95.051765 15.250000 6.000000	J0141+63
95.200749 16.500000 6.066667	J0146+6145
79.855402 16.750000 5.033333	J0147+5922
30.839679 15.250000 -0.050000	J0151-0635
36.799038 15.500000 0.066667	J0152+0948
28.753904 15.500000 -1.050000	J0152-1637
47.376899 16.500000 3.066667	J0156+3949
95.200749 16.750000 6.016667	J0157+6212
40.076685 17.000000 2.000000	J0158+21
74.640963 30.250000 7.000000	J0201+7005
83.580001 31.250000 6.066667	J0205+6449
55.124065 30.500000 5.033333	J0212+5222
56.315936 31.000000 5.033333	J0214+5222
111.142033 31.250000 6.016667	J0215+6218
51.697434 32.000000 4.050000	J0218+4232
44.546204 32.250000 2.000000	J0229+20
70.916364 30.250000 7.033333	J0231+7026
40.225669 30.250000 1.000000	J0241+16
84.920856 30.500000 6.000000	J0242+62
111.142033 30.750000 6.033333	J0243+6027
40.672621 31.000000 1.000000	J0244+14
89.986311 32.000000 6.033333	J0248+6021
40.672621 46.000000 1.050000	J0304+1932
52.442353 47.000000 7.000000	J0308+74
48.717754 45.750000 3.066667	J0323+3944
78.067594 46.000000 5.050000	J0324+5239
64.957006 46.250000 6.000000	J0325+67
39.033797 47.250000 1.083333	J0329+1654
80.153370 45.500000 5.050000	J0332+5434
43.354332 45.500000 7.000000	J0332+79
60.934439 46.250000 4.083333	J0335+4555
37.097006 46.750000 1.016667	J0337+1715
64.957006 47.000000 6.000000	J0338+66
51.548450 45.000000 4.050000	J0340+4130
77.322674 45.250000 5.016667	J0341+5711
80.153370 45.750000 5.016667	J0343+5312
20.857754 45.750000 -3.000000	J0343-3000
